comment_text,label
"CAMPBELL CLARK
Justin Trudeau clinches climate deal despite Christy Clark’s balk . . . and Wall's walk",0
"Thatcher writes:

""LOL @Tommy - odd that the word ""sanctions"" does not appear on that web page.""

--

Wrong link!

My abject apologies!

http://www.reuters.com/article/us-ukraine-crisis-eu-russia-idUSKBN19A1BW

Note the multiple uses of the word ""sanctions"":

""EU sanctions on Crimea will now remain in place until at least June 23, 2018.""

""The bloc's sanctions on Moscow restrict the Russian banking sector's access to international money markets and ban most arms trading with Russia, as well as the sale of some energy-related equipment and technology.""

""The bloc's sanctions on Moscow restrict the Russian banking sector's access to international money markets and ban most arms trading with Russia, as well as the sale of some energy-related equipment and technology.""

""Despite the divisions, the EU has so far been able to uphold its unity on sanctions.""

""Diplomats said they expected the move to extend sanctions to be formally finalised within days after the EU leaders' summit. ""

.",0
"Stephen Harper, the highest ranking conservative white male at the time, will be held responsible.",1
"When a party's ideology reflects disdain for all law and regulation by government while feeding at the trough, the party label indicates such ideology.  Democrats no longer represent the citizens any more than Republicans as they now operate under the same government hatred except for their own and their campaign contributors' looting ways.  It is just one party with two false names no longer ""serving"" in government, but dedicated to destroying all functions for the life, liberty, and pursuit of happiness of all citizens.",0
"Can you imagine a government made up of all the of progressive forces in South Africa? A cabinet with ministers from the EFF, Cope, UDM, SACP, ANC etc all watching over each other with an eye of a hawk while delivering to the masses and redeeming Blacks from the negative stereotypes associated with their escapades in government.",1
"Perhaps your right but I never saw them here. It appears they buried it quickly and the only story regarding her stunt I've been able to access in the Post's latest news section or nation and international section, after clicking ""load more"" 4 times, was after her weak apology.",0
Ms. Clark merely respects her base (corporate sponsors). They provide her with much greater net donations than mere individual taxpayers. Dollars win elections as Ms. Clark is so adept at.,0
Pure speculation but I would guess the entire mortgage book could be purchased without the window dressing of a supposed company.,0
"Don't know why the idiot is taking so long since his secret selection process is eeny, meeny, miny, mo.",0
"A 22 minute video. Tell me where I need to go on it to see the ""good people.""  

https://www.theguardian.com/us-news/2017/aug/16/charlottesville-neo-nazis-vice-news-hbo

You can be a Nazi, KKK, and White Nationalist sympathizer just like our POTUS como. But I thought you were better than that?",1
The basic problem is well stated by MSW. It is very sad. The Pope's comments about women in the priesthood laid it all at the feet of St John Paul II (and Ratzinger). The state of affairs at the USCCB is of the same provenance. We'll be fine though. Viva Papa Francesco!,0
"""It did not impact the all-white jury, which found Roy Bryant and J.W. Milam innocent of Till’s murder. Both men later admitted in a national publication to killing Till because they found the young boy’s self-confidence and refusal to adopt racial deference threatening to their strong belief in white supremacy.""

That's why white racists demanded to see Barack Obama's birth certificate.  A superbly educated African-American president threatened their belief in white superiority.  The tragedy is that the leader of the white racists was elected after Obama.",1
"Mr. Sherman... Quoted from Patrick J. Buchanan, Is it really white America's fault that illegitimacy in the African-American community has hit 70 percent and the black dropout rate from high schools in some cities has reached 50 percent?
Is that the fault of white America or, first and foremost, a failure of the black community itself?
As for racism, its ugliest manifestation is in interracial crime, and especially interracial crimes of violence. Aware that while white criminals choose black victims 3 percent of the time, black criminals choose white victims 45 percent of the time?",1
"Well said about Sir John, surely the greatest and certainly the most essential prime minister this country ever had.

I think it is close to treason that the hyper-partisan Liberals are removing MacDonald from the $10 bill in 2018 to substitute a black woman from Nova Scotia whose sole claim to fame is that she once refused to sit in the upper balcony of a theatre which banned blacks from sitting on the first level and spent overnight in jail and paid a $25 fine (in 1946).

This woman was wrongly treated and a case can be made that she is the Canadian version of Rosa Parks and she deserves to be appropriately honoured.  

But to remove the father of our country rather than another PM on some other bill because he was a Conservative and this ties in with Junior`s design to con low information voters that Canada did not really begin until his old man took power in 1968 is simply beyond the pale.

Name some grand theatre after her or take another PM off the currency but SAVE SIR JOHN!",1
"""The shooter was just exercising his Second Amendment rights.""
.
Oh Mucky-- you don't have a 2A right to murder someone, and that's not ""standing your ground."" Silly. But I can definitely understand how a Bernie Sanders fanatic could ""feel threatened"" by watching a game of baseball- which is exactly how the term Leftist ""snowflake"" came about...",0
"Don't be glib - you know very well which spoiled Chinese he is referring to.
.
As for the railroads - it does not take iota from the fact that this country was build by Europeans. Show me a county, nation that was build and survived on kumbaya-s, pixie dust. 
.
Oh Canada - so bad, almost 1.5 Chinese national alone have 10 year visas, welcome to visit as they please and milk the system.
. 
Great country indeed - build by Europeans, soon to be ruined by hapless left-wingers clinging to their  government cheque, bigoted 'minorities' fanning anti-white racism in hope of social 'advancement' and Liberal politicians pandering to those and anyone who ""would ask and shall receive"".",1
Some of you non-white folk can't think clearly because of your hate.,1
"Although I don't discount the possibility that the ADN is, like so many other mainstream media outlets, trying to PC-sanitize reality, let's consider the possibility that if you don't know or suspect you know who may have done this,  a description of ""black males"" doesn't narrow the search much. It's assured that friends and maybe some neighbors of the perpetrators do know.",1
"All true, but the U.S. is not a democracy.  We are a constitutional republic.",0
So a white girl who's drunk and high kills a man essentially gets nothing for her crime but not this boy? Institutionalized racism,1
What would you like to bet nothing criminal comes from tomorrow's testimony?,0
The current Federal government would be terrified of dealing with this issue.,0
"Appointed by a governor he was supposedly investigating .......... there were no deals made there either, I'm sure.  

These politicians must think we are all stupid. Maybe we are, we keep electing the same ones over and over again.",0
"Trudeau's worst nightmare?  Not likely, more like the Conservatives worst nightmare.",0
"There's racism, amigo, and it comes from Ms Hill. Sadly, like countless other liberals I've encountered, you only see racism from white people, even if the racism is imagined.",1
"Your comment does a disservice to Nazis.
They had way cooler uniforms and a much finer grasp of political theatre.
We get red baseball hats and doughy old white people...it's hard to be impressed.",1
"ignoring the west would have been a very serious mistake
Trudeau and Carr did the right thing for Canada

bravo",0
"Phew...we dodged a bullet here everyone.

Just think...it could have been something REAL terrible...like a $16 orange juice.",0
"""Maybe you can acknowledge the fact that not all the people protesting the removal of the statue in Charlottesville are Nazis? Some of them were good people.""
You're right, some were just garden variety white supremacists and anti-semites.",1
"Well if gay members (or others who are Prideful) cannot represent their employer like the TPS then maybe all employer groups and companies should be excluded......no banks, fire departments, air lines, no Kinsmen or Lions.... you get the drift.  Frankly BLM, as a social action and anti-violence movement, should be more concerned about black on black violence as their number one priority.",1
"Divide and conquer. 
The answer to a less-than-perfect government (you think perfection exists in the corporate world? you do know the greatest car companies have had major issues with recalls, unsafe cars, etc? why hold government to impossibly high standards of perfection as an excuse to destroy critical services such as education?) isn't pessimism and ""Tea Party-style logic.""
I'm as mad as you, especially about some of Kitz's major snafus, but I'm not anti-government. Let's make sure it doesn't happen again, yes, but let's not make matters worse by becoming anti-tax. Measure 5 is the single most destructive occurrence in Oregon politics in my lifetime. The Kicker isn't far behind...",0
"Of course, given his prior expressed sentiments,   there is no real reason to think that Trump is really anti-abortion,  even less reason to think that he is pro-life.  The anti-abortion folks have been hoodwinked by the Republicans for decades.  Ronald Reagan, as governor of California, signed --rather than vetoed -- the most permissive abortion law in the country.  Then, with his acting skills he produced  his crocodile tears and  verklept and all of the sudden began to be anti-abortion (again, never pro-life) .   But Reagan never acted to eliminate abortions in the USA, only in foreign aid programs.   We will know if   Mr. Trump has had a genuine conversion on this issue ---being anti-abortion-- if he become truly and assertively pro-life.",0
That reminds me....where's my wife and that beer!,0
"Trump is correct.   White supremacist beliefs are repugnant.  And there were good and bad people on both sides.  Did you know that many people who showed up to support not removing the statues felt like they had been misled?  It was not an event about ""Igniting the Right"".  The people who ended up leading it were not conservatives (they are for abortion, for example) and promote ""collectivism"".  On the other side there were leftists (who also don't uphold liberal ideals) that were assaulting journalists.",1
"Government is not bad for the climate.

Lying and pandering politicians are bad for the climate. 

Our elected representatives need to stop trying to destroy government, and instead try to help it do its jobs.",0
"Look closely at your bill and you will see a monthly state charge attached for the 911 system. 
End overspending. End the multi million dollar studies to find an answer we elect our officials for",0
"So let me see if I follow the logic correctly: the media got the election very wrong, therefore everything we see/read/hear in the media must now be wrong. 

However, because Trump and his supporters won the election, every mistake and mis-step the new administration makes must be accepted by the country and the world, no matter if it's ethically/morally right or wrong or factually correct or incorrect, simply because Trump and his supporters are the winners of the election? 

If so, why wasn't Obama's administration granted that treatment by same people who are now demanding it for their elected candidate?",0
"Sorry, registered independent.  I have no more use for the Demopignicans than I do the Repignicrats.  And I've gotten bored with your ongoing panic-attacks.  I'm not a ""liberal"", and my not being a white supremacist doesn't make me one, as you seem to think.

AND, you CLEARLY weren't prepared to address my challenge as to whether YOU served in the military.  My beloved grandfather was a Chief Motor-Mach in the Pacific Theater during WWII.  I'm co-authoring a book with another honorable gentleman who did the same.  I don't get credit for that.  Nether do YOU because daddy was a Corpsman during WWII.  Don't bother throwing another temper-tantrum.  I'll ignore it.

""When I debate a reasonable man, I win.  When I debate a fool, I lose."" (Imam 'Ali ibn Abu Talib, alayhimus-Salaam)

Congratulations.  I hereby concede I have lost this debate.  Enjoy your 'victory', if your terrified, miserable, pathetic little existence allows you to enjoy anything.  Doubtful, but thankfully not my problem.",1
"Bad idea... we've had private funding of buses in the past. It's the worst bus system we've ever had. 

Because of low pay and poor working conditions bus drivers and other staff struck for six months. There is no accountability for a private company to maintain public services. The only service is their own bottom line. This is intolerable for a public service.",0
"A person has a right to protest on their own time and on their own dime. Call the customers racist bigots? Free speech doesn't extend to private concerns. The complete hypocrisy of the NLF Union is equally laughable and pathetic. The NFLPU doesn't support protests against domestic violence, CTE, fathering children out of wedlock, using PEDs, income inequality, or racist statements such as the ""Black Power"" salutes the NFL players so frequently provide. 

The lowest paid NFL rookie players ($465K) make 8 times the median household income in the U.S. In 2015, the median salary was $860K per year. Virtually every NFL player attended college on athletic scholarships. They have zero student loan debt. NFL players live a life of absolute privilege because ""privilege"" is based on economic power. NFL players insipid racism is reflected in their vitriolic hatred of the U.S. The very country that has bestowed so much prosperity, education, and opportunities they revile. Sound about right?",1
Burke's character is continually mocked on this site.,0
"why did you removed my comment?  this was a truthful opinion of what this gal did.  she had no right to bring shame and disrespect to the people of Hawaii.  you think it was a great idea that she made an ass of herself?  she is not a good person, only thinking about herself.  ask sanders if he approves of her behavior?  these Hawaii sanders supporters are like trump supporters, just a bunch of uncouth white guys that don't know anything,",1
The biggest takers of welfare and and free stuff are poor white folks. Not Natives.,1
"Nothing could be further from the truth.  

8 years of budget cuts and appeasements and apologies and meaningless red lines and retreats and declining respect domestically for the military and for the US globally had reduced morale in the military to arguably its lowest point since the 1930s and certainly its lowest point since the Carter administration.

Trump's commitments to both military budget increases and improvements in veterans treatment, his regular expressions of appreciation and praise of the military and his more muscular and selective use already of military force, and his obvious inclination not to be pushed around by America's enemies or ordered around by the corrupt and laughable UN have all combined to raise US military morale to its highest point since at least the Reagan years.

As well, serving and retired military personnel are impressed by the significant number of retired general officers in important White House and other positions.

Nice spin though.",0
"Black Lives Matter is hypnotically dramatizing George Owell's story, ""1984"".  I read the book in high school in the '60's and never imagined there would be any citizens so stupid a to suppress free speech in America. Both Antifa and BLM have done so by trying to harm people who want to speak.  Pathetic.",1
"'
You think the white supremacists are managing their new and improved public image?

.
(yeah, ...where is that emoji of the little skinhead with the swastika neck tattoo?)",1
"Unfortunately, modernists coming after Jesus expanded the priesthood.  Jesus chose only male jews, but some progressive along the way allowed others in and look where that has gone.  As Pope Paul VI understood, God is Male, and can only be represented by Men.  From this we can extrapolate God chromosomal make-up.",0
"At least Trumps brown orifice is on his back side , Unlike his apponent she has a brown orifice below her nose .",0
"If it walks like a duck, quacks like a duck and looks like a duck it is a duck. The hacked E-mails describe exactly Hillary's actions so enough of this altered E-mails. Do you really think Hillary got rid of her spots or just covered them up until after the election. She will say anything to get elected. Why do so many people want to give people like this the benefit of the doubt? Fool me once shame on you, fool me twice shame on me.",0
"How telling that my comments are regularly flagged by the usual righties, the ones who can dish it out but can't take it... 
So again, I was calmly pointing out that their hero Trump handles ""free speech"" at his rallies by shouting down any protesters and urging their instant and brutal expulsion, his mob gleefully endorsing his directives. I was also pointing out to the alt-right lads and their enablers that ""free speech"" has never been an absolute, e.g. yelling ""fire"" in a crowded theatre, and that if their own properties were overtaken by lefties with automatic weapons who advocated violence against them and their families, they might better understand these things. Alas, such subtleties are lost on the simple-minded.",0
"I have often wondered that myself, and after listening and watching I have come to conclusion the African American population are being taught to hate whites and they want to blame every white person for what happened decades ago.",1
"What Jesus did by becoming a man, walking among us, dying on the Cross as the ultimate sacrifice, rising from the dead after three days in the grave and then ascending to Heaven is God reaching down to man.  My responding through a prayer of repentance is me responding.  Nothing clumsy about that.  That is the essence of grace.",0
soldiers didn't die to defend principles  - they died to uphold and defend the rule of law - which is why we compensate those who have been illegally incarcerated and tortured,0
"Well ""Chuck"" walked them into the telecom fisco, did he not?  Far more harmful than a soundoff by some disgruntled employees.  I suggest you are very wrong as to when this practice started.  Banks have been ratcheting up sales and sales objectives for decades.  As for the sale of your shares, on the bright side someone got a bargain thanks you.  (Not sure how much you can make on ten shares!)  Is there a twinge of either sour grapes or perhaps racial annoyance in your goodbye comment?",0
Did   the  black  players  protest    the cold  blooded  murder  of  the  white  teacher  in  Oakland  by  a  black  dirtbag?,1
"Oh precious child. Have someone read the article to you and explain the big words.
“Organizers included the Nationalist Socialist Movement, a neo-Nazi group; the Traditionalist Worker Party, which wants a separate white ethno-state; Anti-Communist Action, a right-wing group that believes America is being threatened by “communists”‘ and Vanguard America, a white supremacist group that believes America is inherently a white nation that must be preserved.”


You could argue your point for some of the organizers and that is precious. 
But the National Socialist Movement?
 Really? Wanna try to say they are not white supremacists?

You are either being disingenuous, ignorant or you fall for alt right propaganda like nobody’s business.",1
"Huh? Are you serious? 

Mindless respect for a head of state who can't condemn Neo-Nazis and white supremacists sounds like something you'd find in a totalitarian regime. 

Perhaps you can apply for a visa to N. Korea? I'm sure you'll find the deep respect for authority there to your liking.",0
"First, I am not “coddling” or “protecting anyone, hate is hate no matter who it is. You validate your hateful speech by digging up people who have just as much hate in them as you. It’s that greatest of all argument of “they started it”, but like that argument, you are all childish.

Second, “And African Americans don't like to be equated with rump rangers. Ask them” (your words) says everything anyone needs to know about you. You are not only homophobic, you are racist. Free speech is great and powerful and you use it to disparage anyone who’s not like you, does not agree with you, and maybe does not look like you. 
 
""Rump Rangers""? Ae you in middle school? You are nothing more than a troll that brigs nothing to a conversation outside of looking for a fight that you cannot win, don’t care to win, just so you can spew hate.

Stop, just stop.",1
"A weak and shallow reply Jay Edward, you can do better.  Seek and you will find... as Christians have been doing for centuries on end with or without imperial Romanism.",0
This all can't be done on an ordinary train?,0
"Wasn't Clapper the one who testified before Congress that the NSA was NOT collecting data on average Americans? Oh yeah... it was him!
.
No thanks Alceste. Too many lies already!",0
"You knock that straw man with all your might Mr. Haase. All those will a ""collage"" education will be moved by your ""spilled blood"" metaphors which are not at all threadbare. 
It obviously really bothers you that African-Americans have benefited from their talents enabling them to access higher education and be paid the market value for their risking  permanent head injuries so people can be entertained. 
You only speak though for veterans who believe the tales made up by the pussy-grabber-in-chief regarding how to interpret football players who choose to kneel in protest of white supremacy, white nationalism and a judicial system that is demonstrably racist. 
You do not speak for all white people either. 
The last line of your letter is pure drivel. The only person who says soldiers in coffins are a silly matter is you--in your letter above.",1
"Being white, educated, professional male, any words that I offer up will be construed as racist, privileged, and ignorant. With that out of the way, it wasn't ""ignorant/uneducated white males"" that carried Trump to the presidency, it was a middle class that was tired of having to carry 49% of the nation on their backs. We are tired of paying for wars that are not ending (Obama promised that we will be totally out of Iraq and Afghanistan during his reign), a section of the public that refuses to work, low paying jobs counted as ""growth"", a upcoming generation that has built nothing but feels entitled, and having jobs taken up by immigrants that have no problem taking low unreported wages and no benefits. 
Are you that ignorant to think that Americans will support the registration of people based on religion or race? You are more ignorant than the dude waving the Confederate flag at a Kanye concert. Grow up and help build America, not take from it, giving nothing in return.",1
"There are some very fine white supremacist fellows carrying and waving Nazi and anti-American confederate flags, disrespecting our Stars and Stripes, every single one of our veterans, and America's ideals as delineated in our Constitution.

But black players kneeling in silent protest during the playing of the national anthem?
A poem commemorating the attack of the anti-USA confederacy on American ideals and set to martial music?

In Trump's America, MAGA. Bigly. Or else.",1
Any proof of this?  Or are you just being blinded by your own narrow-minded political ideology and bigotry.,0
"NO...and this is my last response to you John500AF because its obvious we'll never see eye-to-eye and this is exhausting...I never said the number of black coaches should be proportional with the number of black players.  YOU put those words in my mouth. I'm suggesting that if in history the number of head coaches chosen (less than 1/1000th of 1% of all players in the modern era) is significantly less than the number of players from a chosen pool, then it is definitely a human interest story when someone from the largely overlooked group gets one of those jobs.  That is all that I am saying. I do think wins and losses will be the main factor in how many more POC are hired though and that's the great thing about the NFL. I keep responding to you because you keep calling me a racist, which is uncivil, inaccurate and a misrepresentation of everything I've written today.",1
"Bicycles and public transportation are both effective tools to relieve traffic congestion.  IMO, attacking strategies which in fact take autos ""off the road"" is not the path to easing traffic congestion.  Every person you see on a bicycle, every person you see on a bus is one  person who might otherwise be driving a car and contributing to traffic congestion.  Would you rather close the bike paths and terminate public transportation and put everyone in cars?  If so, I'd suggest you're the one who ""doesn't give a damn about traffic congestion.""  Gary Crum",0
There should be no plea deal for these two.  They are the most despicable among us.,0
"If you have any doubt about how far off the rails the Democrat party is: Tom Perez recently stated that regarding positions within the DNC; ""white men shouldn't apply"". There is no longer any doubt that the Democrat party is disturbed beyond what anyone couldn't possibly consider weird. They are simply a disgrace.",1
Sorry that you've had problems. It's certainly a huge pain in the butt when your car starts to fail. I've driven Hyundai for 20 years now and never had a problem. Maybe you've just had bad luck.,0
